,pubchem id,common name,flavor profile
0,4,1-Aminopropan-2-ol,{'fishy'}
1,49,3-Methyl-2-oxobutanoic acid,{'fruity'}
2,58,2-oxobutanoic acid,"{'brown', 'lactonic', 'sweet', 'creamy', 'caramel'}"
3,70,4-Methyl-2-oxovaleric acid,{'fruity'}
4,72,"3,4-Dihydroxybenzoic Acid","{'mild', 'phenolic', 'balsamic'}"
5,107,3-Phenylpropanoic acid,"{'musk', 'fatty', 'rose', 'sweet', 'cinnamon', 'balsamic'}"
6,126,4-hydroxybenzaldehyde,"{'balsam', 'sweet', 'almond', 'woody', 'nutty'}"
7,135,4-Hydroxybenzoic Acid,"{'phenolic', 'nutty'}"
8,177,acetaldehyde,"{'pungent', 'whiskey', 'ethereal', 'fruity', 'aldehydic', 'ether'}"
9,179,acetoin,"{'butter', 'buttery', 'fatty', 'sweet', 'cream', 'creamy', 'dairy', 'milky'}"
10,180,acetone,"{'ethereal', 'solvent', 'pear', 'apple'}"
11,240,benzaldehyde,"{'sharp', 'cherry', 'burnt sugar', 'sweet', 'strong', 'almond', 'bitter'}"
12,243,benzoic acid,"{'balsam', 'urine', 'faint'}"
13,244,benzyl alcohol,"{'berry', 'cherry', 'walnut', 'sweet', 'rose', 'flower', 'phenolic', 'grapefruit', 'floral', 'balsamic'}"
14,247,betaine,{'bland'}
15,261,butyraldehyde,"{'earthy', 'meaty', 'citrus', 'nutty', 'apple', 'fatty', 'creamy', 'spicy', 'green', 'wine_like', 'vegetable', 'pungent', 'fruity', 'herbaceous', 'pear', 'woody', 'cocoa', 'malty', 'chocolate', 'musty', 'bready', 'floral'}"
16,263,1-butanol,"{'fruit', 'fusel', 'balsam', 'sweet', 'vanilla', 'medicine', 'oil', 'medicinal'}"
17,264,butyric acid,"{'rancid', 'fruit', 'sharp', 'butter', 'cheese', 'acetic', 'sweat'}"
18,284,formic acid,"{'pungent', 'formyl', 'vinegar'}"
19,323,coumarin,"{'tonka', 'sweet', 'new mown hay', 'green', 'bitter'}"
20,325,4-isopropylbenzyl alcohol,"{'herbal', 'wood', 'leather', 'caraway', 'strong', 'herb', 'spicy', 'cumin'}"
21,326,4-isopropylbenzaldehyde,"{'herbal', 'sharp', 'acid', 'spicy', 'cumin', 'oily', 'green'}"
22,332,2-Methoxy-4-vinylphenol,"{'clove', 'curry', 'spicy', 'smoky', 'peanut'}"
23,335,o-cresol,"{'phenol', 'medicinal', 'phenolic', 'musty'}"
24,338,salicylic acid,"{'phenolic', 'nutty', 'faint'}"
25,342,m-cresol,"{'fecal', 'plastic', 'leather', 'medical', 'phenolic', 'medicinal', 'woody'}"
26,379,octanoic acid,"{'vegetable', 'rancid', 'fatty', 'cheese', 'cheesy', 'waxy', 'sweat', 'oily'}"
27,402,hydrogen sulfide,"{'rotten', 'egg'}"
28,454,Octanal,"{'orange peel', 'fat', 'fatty', 'lemon', 'soap', 'waxy', 'aldehydic', 'green', 'citrus'}"
29,460,guaiacol,"{'smoke', 'sweet', 'phenolic', 'spice', 'vanilla', 'medicine', 'smoky', 'medicinal', 'woody'}"
30,527,Propionaldehyde,"{'solvent', 'cocoa', 'pungent', 'alcohol', 'whiskey', 'earthy', 'wine', 'nutty'}"
31,602,Dl-Alanine,{'odorless'}
32,612,lactic acid,{'odorless'}
33,650,"2,3-butanedione","{'butter', 'sweet', 'pungent', 'strong', 'creamy', 'oily', 'caramel'}"
34,679,dimethyl sulfoxide,"{'fatty', 'cheesy', 'mushroom', 'garlic', 'oily', 'bitter'}"
35,702,ethanol,"{'medical', 'sweet', 'strong', 'ethereal', 'alcoholic'}"
36,753,glycerol,"{'odorless', 'sweet'}"
37,768,hydrogen cyanide,{'bitter'}
38,784,hydrogen peroxide,{'bitter'}
39,798,indole,"{'fishy', 'mothball', 'jasmine', 'burnt', 'moth ball', 'honey', 'naphthelene', 'animal', 'fecal', 'floral'}"
40,802,indole-3-acetic acid,"{'mild', 'odorless', 'sour'}"
41,875,DL-Tartaric acid,"{'very mild', 'caramellic'}"
42,878,methanethiol,"{'gasoline', 'garlic', 'decomposing cabbage', 'sulfur'}"
43,880,methylglyoxal,"{'brown', 'rum', 'sweet', 'ethereal', 'acidic'}"
44,957,1-octanol,"{'chemical', 'rose', 'burnt', 'waxy', 'metal', 'orange', 'mushroom', 'aldehydic', 'green'}"
45,964,3-Hydroxypyruvic acid,"{'radish', 'sour', 'cabbage'}"
46,985,palmitic acid,"{'fatty', 'slightly waxy'}"
47,994,Dl-Phenylalanine,{'odorless'}
48,996,phenol,"{'phenol', 'phenolic', 'plastic', 'rubber'}"
49,998,phenylacetaldehyde,"{'cocoa', 'hyacinth', 'sweet', 'hawthorne', 'honey', 'grapefruit', 'clover', 'peanut', 'floral', 'green', 'bitter'}"
50,999,Phenylacetic Acid,"{'civet', 'sour', 'sweet', 'flower', 'waxy', 'honey', 'honeysuckle', 'floral'}"
51,1001,Phenethylamine,"{'fishy', 'ammoniacal'}"
52,1031,1-propanol,"{'fusel', 'fermented', 'pungent', 'alcohol', 'alcoholic', 'musty', 'peanut'}"
53,1032,propionic acid,"{'rancid', 'vinegar', 'soy', 'pungent', 'cheesy', 'acidic'}"
54,1049,Pyridine,"{'rancid', 'fishy', 'sour', 'sickening', 'putrid', 'amine'}"
55,1060,Pyruvic acid,"{'acetic', 'sour', 'sharp', 'caramellic'}"
56,1068,dimethyl sulfide,"{'vegetable', 'onion', 'gasoline', 'tomato', 'sulfur', 'sulfurous', 'wild', 'cabbage', 'sweet corn', 'radish', 'sulfury', 'green'}"
57,1110,succinic acid,"{'odorless', 'sour'}"
58,1119,sulfur dioxide,{'bitter'}
59,1130,thiamine,{'bitter'}
60,1136,4-Methyl-5-Thiazoleethanol,"{'cooked beef juice', 'fatty', 'sulfur'}"
61,1146,trimethylamine,"{'rancid', 'fishy', 'fish', 'fruity', 'sweaty', 'oily'}"
62,1183,vanillin,"{'sweet', 'chocolate', 'creamy', 'vanilla'}"
63,1491,"2,4-dihydroxybenzoic acid","{'mild', 'phenolic'}"
64,1889,DL-Liquiritigenin,{'bitter'}
65,2345,Benzyl Benzoate,"{'herbal', 'strawberry', 'cherry', 'balsam', 'balsamic', 'sweet', 'cheese', 'faint', 'herb', 'almond', 'pineapple', 'oil', 'oily'}"
66,2519,caffeine,"{'odorless', 'bitter'}"
67,2879,P-Cresol,"{'mimosa', 'animal', 'smoke', 'phenolic', 'medicine', 'phenol', 'medicinal', 'narcissus'}"
68,2969,Decanoic acid,"{'rancid', 'sour', 'fat', 'fatty', 'unpleasant', 'citrus'}"
69,3102,Benzophenone,"{'metallic', 'geranium', 'balsam', 'rose', 'powdery', 'apricot', 'peach'}"
70,3314,eugenol,"{'sweet', 'honey', 'spicy', 'cinnamon', 'woody', 'clove'}"
71,3776,isopropanol,"{'alcohol', 'woody', 'musty', 'bitter'}"
72,3893,lauric acid,"{'coconut', 'fatty', 'bay oil', 'metal', 'mild'}"
73,4133,methyl salicylate,"{'mint', 'wintergreen', 'peppermint'}"
74,4788,phloretin,"{'odorless', 'bitter'}"
75,5054,resorcinol,"{'phenolic', 'creamy', 'musty', 'hawthorn', 'nutty'}"
76,5281,stearic acid,"{'mild', 'odorless', 'fatty'}"
77,5960,L-aspartic acid,{'odorless'}
78,6050,Tributyrin,"{'cheese', 'fatty', 'waxy', 'creamy', 'bitter'}"
79,6054,2-Phenylethanol,"{'rose flower', 'lilac', 'rose water', 'rose', 'honey', 'spice', 'rose dried', 'floral', 'bitter'}"
80,6072,Phlorizin,{'bitter'}
81,6140,L-phenylalanine,"{'odorless', 'bitter'}"
82,6184,Hexanal,"{'fat', 'leafy', 'fatty', 'fruity', 'tallow', 'grass', 'fresh', 'sweaty', 'aldehydic', 'green'}"
83,6202,Thiamine Hydrochloride,"{'mild', 'sour', 'bitter'}"
84,6251,D-mannitol,"{'odorless', 'sweet'}"
85,6354,Oxirane,{''}
86,6506,Triethyl Citrate,"{'odorless', 'mild', 'fruity', 'wine', 'bitter'}"
87,6544,Isophorone,"{'cedarwood', 'tobacco', 'leather', 'sweet', 'cooling', 'fruity', 'camphor', 'musty', 'woody', 'camphoraceous', 'green'}"
88,6549,Linalool,"{'citrus', 'sweet', 'lemon', 'bois de rose', 'flower', 'blueberry', 'orange', 'woody', 'floral', 'green', 'lavender'}"
89,6560,2-Methyl-1-propanol,"{'wine', 'solvent', 'ether', 'bitter'}"
90,6561,Isobutyraldehyde,"{'aldehydic', 'pungent', 'fresh', 'floral', 'green', 'malt'}"
91,6569,2-Butanone,"{'ethereal', 'fruity', 'acetone', 'camphor', 'ether'}"
92,6584,Methyl Acetate,"{'fruity', 'sweet', 'ether', 'bitter'}"
93,6590,Isobutyric Acid,"{'rancid', 'cheese', 'strawberry', 'butter'}"
94,6654,Alpha-Pinene,"{'terpene', 'turpentine', 'sweet', 'pine', 'earthy', 'harsh', 'fresh', 'woody', 'camphor', 'minty'}"
95,6736,3-Methylindole,"{'civet', 'mothball', 'indole', 'very strong', 'animal', 'fecal'}"
96,6874,Isoamyl salicylate,"{'soapy', 'metallic', 'herbal', 'tobacco', 'wintergreen', 'orchid', 'woody', 'floral', 'bitter'}"
97,6915,2-Ethylbutyric Acid,"{'berry', 'sour', 'dry', 'whiskey', 'fruity', 'acidic', 'caramel'}"
98,6943,2-Isopropylphenol,"{'creosote', 'phenolic', 'medicinal'}"
99,6985,"2',4'-Dimethylacetophenone","{'mimosa', 'sweet', 'woody', 'floral', 'minty'}"
100,6986,2-Isopropyl-5-methylcyclohexanone,"{'mint', 'sweet', 'peppermint', 'cool', 'fresh', 'green', 'minty'}"
101,6989,Thymol,"{'herbal', 'thyme', 'phenolic', 'medicinal', 'camphor'}"
102,6998,Salicylaldehyde,"{'medical', 'wintergreen', 'cooling', 'spicy', 'cinnamon'}"
103,7002,1-Methylnaphthalene,"{'medicinal', 'chemical', 'naphthyl', 'camphor'}"
104,7043,"1,2-Dimethoxybenzene","{'sweet', 'phenolic', 'creamy', 'vanilla', 'musty'}"
105,7047,Quinoline,"{'tobacco', 'medical', 'rubber', 'earthy', 'musty'}"
106,7059,6-Methylquinoline,"{'civet', 'tobacco', 'castoreum', 'leather', 'tonka', 'fecal'}"
107,7095,Biphenyl,"{'rose', 'pungent', 'green', 'geranium'}"
108,7144,2-Methoxy-4-Methylphenol,"{'mesquite', 'clove', 'leather', 'medical', 'carnation', 'bacon', 'phenolic', 'spice', 'vanilla', 'smoky', 'medicinal', 'bitter'}"
109,7147,1-Phenyl-1-propanol,"{'balsam', 'sweet', 'floral'}"
110,7148,Propiophenone,"{'lilac', 'hawthorn'}"
111,7150,Methyl Benzoate,"{'prune', 'wintergreen', 'sweet', 'herb', 'cananga', 'almond', 'lettuce', 'phenolic', 'floral'}"
112,7151,Methyl Nicotinate,"{'warm', 'herbal', 'tobacco'}"
113,7165,Ethyl Benzoate,"{'celery', 'wintergreen', 'banana', 'minty', 'camomile', 'anise', 'flower', 'bitter', 'berry', 'grape', 'strawberry', 'cherry', 'balsam', 'sweet', 'fruity', 'plum', 'fruit', 'cranberry', 'dry', 'raspberry', 'musty'}"
114,7193,Isopentyl benzoate,"{'waxy', 'balsamic', 'sweet', 'green'}"
115,7222,Benzothiazole,"{'vegetable', 'cooked', 'gasoline', 'coffee', 'rubber', 'rubbery', 'meat', 'sulfury', 'nutty'}"
116,7249,"3,4-Dimethylphenol","{'flat', 'dry'}"
117,7267,"2,5-Dimethylphenol","{'smoke', 'sweet', 'naphthyl', 'bacon', 'phenolic'}"
118,7284,2-Methylbutyraldehyde,"{'cocoa', 'coffee', 'almond', 'musty', 'nutty'}"
119,7288,3-Pentanone,"{'ethereal', 'acetone', 'ether'}"
120,7302,gamma-Butyrolactone,"{'fatty', 'sweet', 'caramel', 'creamy', 'oily'}"
121,7341,2-Methylpentanoic acid,"{'cheese', 'sour'}"
122,7342,Ethyl Isobutyrate,"{'strawberry', 'rummy', 'fusel', 'sweet', 'rubber', 'ethereal', 'fruity', 'alcoholic'}"
123,7344,Ethyl Lactate,"{'fruit', 'sharp', 'butterscotch', 'butter', 'buttery', 'tart', 'fruity'}"
124,7351,Isobutyl isobutyrate,"{'grape skin', 'pineapple', 'tropical'}"
125,7359,2-Ethylbutanal,"{'cocoa', 'sweet', 'ethereal', 'fruity', 'green'}"
126,7360,Tetrahydrofurfuryl Alcohol,"{'vegetable', 'cauliflower', 'faint', 'warm', 'oily', 'caramel'}"
127,7361,Furfuryl Alcohol,"{'chemical', 'sweet', 'coffee', 'burnt', 'bread', 'alcoholic', 'musty', 'caramel', 'bitter'}"
